personID:ID(Person),roadUser,gender,age,ageGroup,:LABEL
663,Pedal cyclist,Male,70,65_to_74,Person
665,Motorcycle rider,Male,29,26_to_39,Person
667,Passenger,Female,82,75_or_older,Person
668,Driver,Male,38,26_to_39,Person
669,Driver,Male,83,75_or_older,Person
670,Driver,Female,73,65_to_74,Person
673,Driver,Male,23,17_to_25,Person
674,Motorcycle rider,Male,30,26_to_39,Person
675,Driver,Male,21,17_to_25,Person
677,Driver,Male,32,26_to_39,Person
680,Pedal cyclist,Male,31,26_to_39,Person
683,Driver,Male,21,17_to_25,Person
684,Passenger,Male,19,17_to_25,Person
685,Driver,Male,34,26_to_39,Person
689,Pedestrian,Female,30,26_to_39,Person
697,Driver,Male,25,17_to_25,Person
698,Motorcycle rider,Male,38,26_to_39,Person
700,Driver,Female,51,40_to_64,Person
708,Driver,Male,56,40_to_64,Person
709,Driver,Male,41,40_to_64,Person
710,Motorcycle pillion passenger,Female,15,0_to_16,Person
711,Motorcycle rider,Male,54,40_to_64,Person
716,Pedestrian,Female,78,75_or_older,Person
717,Pedestrian,Male,66,65_to_74,Person
718,Driver,Male,43,40_to_64,Person
720,Driver,Male,58,40_to_64,Person
724,Driver,Male,29,26_to_39,Person
727,Passenger,Male,68,65_to_74,Person
728,Driver,Male,86,75_or_older,Person
729,Passenger,Female,75,75_or_older,Person
731,Driver,Male,67,65_to_74,Person
740,Driver,Male,56,40_to_64,Person
741,Motorcycle rider,Male,49,40_to_64,Person
743,Driver,Male,77,75_or_older,Person
748,Driver,Male,76,75_or_older,Person
749,Pedestrian,Female,29,26_to_39,Person
754,Driver,Male,54,40_to_64,Person
760,Motorcycle rider,Male,21,17_to_25,Person
762,Pedal cyclist,Male,66,65_to_74,Person
769,Motorcycle rider,Male,58,40_to_64,Person
771,Driver,Male,30,26_to_39,Person
776,Passenger,Male,17,17_to_25,Person
777,Pedestrian,Male,28,26_to_39,Person
780,Motorcycle rider,Male,57,40_to_64,Person
781,Passenger,Female,24,17_to_25,Person
787,Pedestrian,Male,35,26_to_39,Person
798,Driver,Male,84,75_or_older,Person
799,Motorcycle rider,Male,20,17_to_25,Person
806,Pedestrian,Male,17,17_to_25,Person
807,Pedestrian,Male,80,75_or_older,Person
809,Driver,Male,34,26_to_39,Person
814,Driver,Male,62,40_to_64,Person
815,Pedestrian,Male,31,26_to_39,Person
822,Pedestrian,Male,64,40_to_64,Person
827,Motorcycle rider,Male,42,40_to_64,Person
830,Driver,Male,91,75_or_older,Person
831,Passenger,Male,43,40_to_64,Person
840,Motorcycle rider,Male,27,26_to_39,Person
846,Driver,Female,31,26_to_39,Person
852,Passenger,Male,42,40_to_64,Person
853,Driver,Male,36,26_to_39,Person
854,Passenger,Male,50,40_to_64,Person
855,Passenger,Female,24,17_to_25,Person
862,Motorcycle rider,Male,61,40_to_64,Person
865,Driver,Male,27,26_to_39,Person
866,Passenger,Female,27,26_to_39,Person
867,Driver,Male,41,40_to_64,Person
871,Driver,Male,32,26_to_39,Person
873,Driver,Male,66,65_to_74,Person
879,Motorcycle rider,Male,48,40_to_64,Person
887,Driver,Male,43,40_to_64,Person
888,Passenger,Female,16,0_to_16,Person
889,Driver,Female,39,26_to_39,Person
895,Driver,Male,29,26_to_39,Person
898,Passenger,Female,15,0_to_16,Person
900,Motorcycle rider,Male,38,26_to_39,Person
901,Driver,Male,54,40_to_64,Person
904,Driver,Male,17,17_to_25,Person
907,Motorcycle rider,Male,24,17_to_25,Person
908,Driver,Female,47,40_to_64,Person
909,Driver,Male,55,40_to_64,Person
911,Driver,Female,56,40_to_64,Person
913,Motorcycle rider,Male,23,17_to_25,Person
914,Pedestrian,Female,1,0_to_16,Person
915,Driver,Male,26,26_to_39,Person
919,Pedestrian,Male,30,26_to_39,Person
920,Driver,Male,46,40_to_64,Person
921,Driver,Male,76,75_or_older,Person
924,Passenger,Female,50,40_to_64,Person
925,Driver,Male,71,65_to_74,Person
927,Passenger,Male,17,17_to_25,Person
928,Passenger,Male,17,17_to_25,Person
930,Passenger,Female,81,75_or_older,Person
945,Motorcycle pillion passenger,Female,23,17_to_25,Person
947,Motorcycle rider,Male,38,26_to_39,Person
948,Motorcycle rider,Male,66,65_to_74,Person
952,Driver,Male,22,17_to_25,Person
