:START_ID(Crash),:END_ID(LGA),:TYPE
138,Lithgow,OCCURRED_IN_LGA
139,Moree Plains,OCCURRED_IN_LGA
140,Gunnedah,OCCURRED_IN_LGA
141,Lake Macquarie,OCCURRED_IN_LGA
142,Ku-ring-gai,OCCURRED_IN_LGA
143,Snowy Monaro,OCCURRED_IN_LGA
144,Shoalhaven,OCCURRED_IN_LGA
145,Goulburn Mulwaree,OCCURRED_IN_LGA
146,Berrigan,OCCURRED_IN_LGA
147,Warren,OCCURRED_IN_LGA
148,Mid-Western,OCCURRED_IN_LGA
149,Clarence Valley,OCCURRED_IN_LGA
150,Narrandera,OCCURRED_IN_LGA
151,Mid-Coast,OCCURRED_IN_LGA
152,Narrabri,OCCURRED_IN_LGA
153,Glen Innes Severn,OCCURRED_IN_LGA
154,Wingecarribee,OCCURRED_IN_LGA
155,Central Coast (NSW),OCCURRED_IN_LGA
156,Tenterfield,OCCURRED_IN_LGA
157,Hilltops,OCCURRED_IN_LGA
158,Goulburn Mulwaree,OCCURRED_IN_LGA
159,Northern Beaches,OCCURRED_IN_LGA
160,Inner West,OCCURRED_IN_LGA
161,Cessnock,OCCURRED_IN_LGA
162,Central Coast (NSW),OCCURRED_IN_LGA
163,Warrumbungle,OCCURRED_IN_LGA
164,Port Stephens,OCCURRED_IN_LGA
165,Shoalhaven,OCCURRED_IN_LGA
166,Narromine,OCCURRED_IN_LGA
167,Clarence Valley,OCCURRED_IN_LGA
168,Canterbury-Bankstown,OCCURRED_IN_LGA
169,Lake Macquarie,OCCURRED_IN_LGA
170,Tweed,OCCURRED_IN_LGA
171,Blacktown,OCCURRED_IN_LGA
172,Blacktown,OCCURRED_IN_LGA
173,Dubbo,OCCURRED_IN_LGA
174,Lake Macquarie,OCCURRED_IN_LGA
175,Northern Beaches,OCCURRED_IN_LGA
176,Hornsby,OCCURRED_IN_LGA
177,Clarence Valley,OCCURRED_IN_LGA
178,Lake Macquarie,OCCURRED_IN_LGA
179,Cumberland,OCCURRED_IN_LGA
180,The Hills,OCCURRED_IN_LGA
181,Fairfield,OCCURRED_IN_LGA
182,Richmond Valley,OCCURRED_IN_LGA
183,Parramatta,OCCURRED_IN_LGA
184,Sutherland,OCCURRED_IN_LGA
185,Mid-Western,OCCURRED_IN_LGA
186,Newcastle,OCCURRED_IN_LGA
187,Cabonne,OCCURRED_IN_LGA
188,Canterbury-Bankstown,OCCURRED_IN_LGA
189,Clarence Valley,OCCURRED_IN_LGA
190,Wollongong,OCCURRED_IN_LGA
191,Greater Hume,OCCURRED_IN_LGA
192,Fairfield,OCCURRED_IN_LGA
193,Ku-ring-gai,OCCURRED_IN_LGA
194,Unincorporated NSW,OCCURRED_IN_LGA
195,Wollongong,OCCURRED_IN_LGA
196,Canterbury-Bankstown,OCCURRED_IN_LGA
197,Strathfield,OCCURRED_IN_LGA
198,Bayside (NSW),OCCURRED_IN_LGA
199,Coffs Harbour,OCCURRED_IN_LGA
200,Lake Macquarie,OCCURRED_IN_LGA
201,Lake Macquarie,OCCURRED_IN_LGA
202,Tweed,OCCURRED_IN_LGA
203,Murray River,OCCURRED_IN_LGA
204,Penrith,OCCURRED_IN_LGA
205,Camden,OCCURRED_IN_LGA
206,Mid-Western,OCCURRED_IN_LGA
207,Georges River,OCCURRED_IN_LGA
208,Hornsby,OCCURRED_IN_LGA
209,Randwick,OCCURRED_IN_LGA
210,Strathfield,OCCURRED_IN_LGA
211,Forbes,OCCURRED_IN_LGA
212,Richmond Valley,OCCURRED_IN_LGA
213,Hunters Hill,OCCURRED_IN_LGA
214,Parkes,OCCURRED_IN_LGA
215,Goulburn Mulwaree,OCCURRED_IN_LGA
216,Gunnedah,OCCURRED_IN_LGA
217,Dubbo,OCCURRED_IN_LGA
218,Byron,OCCURRED_IN_LGA
219,Tamworth,OCCURRED_IN_LGA
220,Lake Macquarie,OCCURRED_IN_LGA
221,Cabonne,OCCURRED_IN_LGA
222,Lismore,OCCURRED_IN_LGA
223,Bathurst,OCCURRED_IN_LGA
224,Randwick,OCCURRED_IN_LGA
225,Inverell,OCCURRED_IN_LGA
226,Tamworth,OCCURRED_IN_LGA
227,Upper Hunter,OCCURRED_IN_LGA
228,Bellingen,OCCURRED_IN_LGA
229,Blacktown,OCCURRED_IN_LGA
230,Willoughby,OCCURRED_IN_LGA
231,Willoughby,OCCURRED_IN_LGA
232,Albury,OCCURRED_IN_LGA
233,Central Coast (NSW),OCCURRED_IN_LGA
234,The Hills,OCCURRED_IN_LGA
235,Georges River,OCCURRED_IN_LGA
236,Edward River,OCCURRED_IN_LGA
237,Richmond Valley,OCCURRED_IN_LGA
238,Ryde,OCCURRED_IN_LGA
239,Yass Valley,OCCURRED_IN_LGA
240,Coffs Harbour,OCCURRED_IN_LGA
241,Shoalhaven,OCCURRED_IN_LGA
242,Hay,OCCURRED_IN_LGA
243,Penrith,OCCURRED_IN_LGA
244,Weddin,OCCURRED_IN_LGA
