:START_ID(Crash),:END_ID(SA4),:TYPE
125,Sydney - Outer West and Blue Mountains,OCCURRED_IN_SA4
126,Mid North Coast,OCCURRED_IN_SA4
127,New England and North West,OCCURRED_IN_SA4
128,New England and North West,OCCURRED_IN_SA4
129,Far West and Orana,OCCURRED_IN_SA4
130,Sydney - Inner South West,OCCURRED_IN_SA4
131,Illawarra,OCCURRED_IN_SA4
132,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
133,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
134,Sydney - Parramatta,OCCURRED_IN_SA4
135,New England and North West,OCCURRED_IN_SA4
136,Central West,OCCURRED_IN_SA4
137,Central West,OCCURRED_IN_SA4
138,Central West,OCCURRED_IN_SA4
139,New England and North West,OCCURRED_IN_SA4
140,New England and North West,OCCURRED_IN_SA4
141,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
142,Sydney - North Sydney and Hornsby,OCCURRED_IN_SA4
143,Capital Region,OCCURRED_IN_SA4
144,Southern Highlands and Shoalhaven,OCCURRED_IN_SA4
145,Capital Region,OCCURRED_IN_SA4
146,Murray,OCCURRED_IN_SA4
147,Far West and Orana,OCCURRED_IN_SA4
148,Central West,OCCURRED_IN_SA4
149,Coffs Harbour - Grafton,OCCURRED_IN_SA4
150,Riverina,OCCURRED_IN_SA4
151,Mid North Coast,OCCURRED_IN_SA4
152,New England and North West,OCCURRED_IN_SA4
153,New England and North West,OCCURRED_IN_SA4
154,Southern Highlands and Shoalhaven,OCCURRED_IN_SA4
155,Central Coast,OCCURRED_IN_SA4
156,New England and North West,OCCURRED_IN_SA4
157,Capital Region,OCCURRED_IN_SA4
158,Capital Region,OCCURRED_IN_SA4
159,Sydney - Northern Beaches,OCCURRED_IN_SA4
160,Sydney - Inner West,OCCURRED_IN_SA4
161,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
162,Central Coast,OCCURRED_IN_SA4
163,Far West and Orana,OCCURRED_IN_SA4
164,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
165,Southern Highlands and Shoalhaven,OCCURRED_IN_SA4
166,Far West and Orana,OCCURRED_IN_SA4
167,Coffs Harbour - Grafton,OCCURRED_IN_SA4
168,Sydney - Inner South West,OCCURRED_IN_SA4
169,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
170,Richmond - Tweed,OCCURRED_IN_SA4
171,Sydney - Blacktown,OCCURRED_IN_SA4
172,Sydney - Blacktown,OCCURRED_IN_SA4
173,Far West and Orana,OCCURRED_IN_SA4
174,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
175,Sydney - Northern Beaches,OCCURRED_IN_SA4
176,Sydney - North Sydney and Hornsby,OCCURRED_IN_SA4
177,Coffs Harbour - Grafton,OCCURRED_IN_SA4
178,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
179,Sydney - Parramatta,OCCURRED_IN_SA4
180,Sydney - Baulkham Hills and Hawkesbury,OCCURRED_IN_SA4
181,Sydney - South West,OCCURRED_IN_SA4
182,Richmond - Tweed,OCCURRED_IN_SA4
183,Sydney - Parramatta,OCCURRED_IN_SA4
184,Sydney - Sutherland,OCCURRED_IN_SA4
185,Central West,OCCURRED_IN_SA4
186,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
187,Central West,OCCURRED_IN_SA4
188,Sydney - Inner South West,OCCURRED_IN_SA4
189,Coffs Harbour - Grafton,OCCURRED_IN_SA4
190,Illawarra,OCCURRED_IN_SA4
191,Murray,OCCURRED_IN_SA4
192,Sydney - South West,OCCURRED_IN_SA4
193,Sydney - North Sydney and Hornsby,OCCURRED_IN_SA4
194,Far West and Orana,OCCURRED_IN_SA4
195,Illawarra,OCCURRED_IN_SA4
196,Sydney - Inner South West,OCCURRED_IN_SA4
197,Sydney - Inner South West,OCCURRED_IN_SA4
198,Sydney - Inner South West,OCCURRED_IN_SA4
199,Coffs Harbour - Grafton,OCCURRED_IN_SA4
200,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
201,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
202,Richmond - Tweed,OCCURRED_IN_SA4
203,Murray,OCCURRED_IN_SA4
204,Sydney - Outer West and Blue Mountains,OCCURRED_IN_SA4
205,Sydney - Outer South West,OCCURRED_IN_SA4
206,Central West,OCCURRED_IN_SA4
207,Sydney - Inner South West,OCCURRED_IN_SA4
208,Sydney - North Sydney and Hornsby,OCCURRED_IN_SA4
209,Sydney - Eastern Suburbs,OCCURRED_IN_SA4
210,Sydney - Inner West,OCCURRED_IN_SA4
211,Central West,OCCURRED_IN_SA4
212,Richmond - Tweed,OCCURRED_IN_SA4
213,Sydney - Ryde,OCCURRED_IN_SA4
214,Central West,OCCURRED_IN_SA4
215,Capital Region,OCCURRED_IN_SA4
216,New England and North West,OCCURRED_IN_SA4
217,Far West and Orana,OCCURRED_IN_SA4
218,Richmond - Tweed,OCCURRED_IN_SA4
219,New England and North West,OCCURRED_IN_SA4
220,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
221,Far West and Orana,OCCURRED_IN_SA4
222,Richmond - Tweed,OCCURRED_IN_SA4
223,Central West,OCCURRED_IN_SA4
224,Sydney - Eastern Suburbs,OCCURRED_IN_SA4
225,New England and North West,OCCURRED_IN_SA4
226,New England and North West,OCCURRED_IN_SA4
227,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
228,Coffs Harbour - Grafton,OCCURRED_IN_SA4
229,Sydney - Blacktown,OCCURRED_IN_SA4
230,Sydney - North Sydney and Hornsby,OCCURRED_IN_SA4
231,Sydney - North Sydney and Hornsby,OCCURRED_IN_SA4
232,Murray,OCCURRED_IN_SA4
233,Central Coast,OCCURRED_IN_SA4
234,Sydney - Baulkham Hills and Hawkesbury,OCCURRED_IN_SA4
235,Sydney - Inner South West,OCCURRED_IN_SA4
