personID:ID(Person),roadUser,gender,age,ageGroup,:LABEL
2731,Driver,Male,86,75_or_older,Person
2732,Passenger,Female,93,75_or_older,Person
2733,Motorcycle rider,Male,25,17_to_25,Person
2734,Driver,Male,65,65_to_74,Person
2735,Pedestrian,Female,25,17_to_25,Person
2736,Pedestrian,Male,73,65_to_74,Person
2737,Driver,Male,43,40_to_64,Person
2738,Driver,Male,38,26_to_39,Person
2739,Pedestrian,Male,84,75_or_older,Person
2740,Motorcycle rider,Male,70,65_to_74,Person
2741,Driver,Male,64,40_to_64,Person
2742,Driver,Male,74,65_to_74,Person
2743,Driver,Male,16,0_to_16,Person
2744,Passenger,Female,62,40_to_64,Person
2745,Driver,Male,22,17_to_25,Person
2746,Pedestrian,Female,54,40_to_64,Person
2747,Driver,Male,21,17_to_25,Person
2748,Driver,Male,42,40_to_64,Person
2749,Driver,Female,22,17_to_25,Person
2750,Driver,Male,34,26_to_39,Person
2751,Motorcycle rider,Male,27,26_to_39,Person
2752,Motorcycle pillion passenger,Female,27,26_to_39,Person
2753,Pedestrian,Male,79,75_or_older,Person
2754,Motorcycle rider,Male,18,17_to_25,Person
2755,Driver,Female,49,40_to_64,Person
2756,Motorcycle rider,Male,35,26_to_39,Person
2757,Motorcycle rider,Male,18,17_to_25,Person
2758,Driver,Male,21,17_to_25,Person
2759,Motorcycle pillion passenger,Male,32,26_to_39,Person
2760,Driver,Male,22,17_to_25,Person
2761,Driver,Male,43,40_to_64,Person
2762,Pedestrian,Female,90,75_or_older,Person
2763,Driver,Female,28,26_to_39,Person
2764,Motorcycle rider,Female,57,40_to_64,Person
2765,Motorcycle rider,Male,53,40_to_64,Person
2766,Passenger,Female,62,40_to_64,Person
2767,Driver,Male,50,40_to_64,Person
2768,Pedestrian,Female,12,0_to_16,Person
2769,Passenger,Male,14,0_to_16,Person
2770,Driver,Male,51,40_to_64,Person
2771,Driver,Male,60,40_to_64,Person
2772,Motorcycle rider,Male,49,40_to_64,Person
2773,Driver,Male,29,26_to_39,Person
2774,Driver,Male,18,17_to_25,Person
2775,Motorcycle rider,Male,16,0_to_16,Person
2776,Pedestrian,Male,87,75_or_older,Person
2777,Pedal cyclist,Male,62,40_to_64,Person
2778,Motorcycle rider,Male,27,26_to_39,Person
2779,Driver,Male,33,26_to_39,Person
2780,Driver,Male,40,40_to_64,Person
2781,Motorcycle rider,Male,42,40_to_64,Person
2782,Motorcycle rider,Male,60,40_to_64,Person
2783,Motorcycle rider,Male,32,26_to_39,Person
2784,Pedestrian,Male,8,0_to_16,Person
2785,Motorcycle rider,Male,51,40_to_64,Person
2786,Motorcycle rider,Male,24,17_to_25,Person
2787,Passenger,Male,27,26_to_39,Person
2788,Passenger,Male,30,26_to_39,Person
2789,Driver,Male,32,26_to_39,Person
2790,Passenger,Male,36,26_to_39,Person
2791,Driver,Male,71,65_to_74,Person
2792,Driver,Male,48,40_to_64,Person
2793,Pedestrian,Male,47,40_to_64,Person
2794,Motorcycle rider,Male,20,17_to_25,Person
2795,Passenger,Male,18,17_to_25,Person
2796,Driver,Male,65,65_to_74,Person
2797,Driver,Male,46,40_to_64,Person
2798,Passenger,Male,22,17_to_25,Person
2799,Driver,Male,26,26_to_39,Person
2800,Passenger,Male,23,17_to_25,Person
2801,Driver,Male,34,26_to_39,Person
2802,Driver,Male,49,40_to_64,Person
2803,Pedestrian,Male,18,17_to_25,Person
2804,Driver,Male,19,17_to_25,Person
2805,Driver,Male,37,26_to_39,Person
2806,Passenger,Male,23,17_to_25,Person
2807,Driver,Female,23,17_to_25,Person
2808,Driver,Female,19,17_to_25,Person
2809,Motorcycle rider,Male,44,40_to_64,Person
2810,Motorcycle rider,Male,62,40_to_64,Person
