:START_ID(Crash),:END_ID(SA4),:TYPE
126,Wide Bay,OCCURRED_IN_SA4
127,Sydney - North Sydney and Hornsby,OCCURRED_IN_SA4
128,Capital Region,OCCURRED_IN_SA4
129,Capital Region,OCCURRED_IN_SA4
130,Bendigo,OCCURRED_IN_SA4
131,Melbourne - North East,OCCURRED_IN_SA4
132,Darling Downs - Maranoa,OCCURRED_IN_SA4
133,Central Queensland,OCCURRED_IN_SA4
134,Illawarra,OCCURRED_IN_SA4
135,Wide Bay,OCCURRED_IN_SA4
136,South Australia - South East,OCCURRED_IN_SA4
137,Richmond - Tweed,OCCURRED_IN_SA4
138,Mid North Coast,OCCURRED_IN_SA4
139,Ipswich,OCCURRED_IN_SA4
140,North West,OCCURRED_IN_SA4
141,Sydney - Baulkham Hills and Hawkesbury,OCCURRED_IN_SA4
142,Barossa - Yorke - Mid North,OCCURRED_IN_SA4
143,Adelaide - North,OCCURRED_IN_SA4
144,Cairns,OCCURRED_IN_SA4
145,Warrnambool and South West,OCCURRED_IN_SA4
146,Queensland - Outback,OCCURRED_IN_SA4
147,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
148,Central Queensland,OCCURRED_IN_SA4
149,Riverina,OCCURRED_IN_SA4
150,Central West,OCCURRED_IN_SA4
151,New England and North West,OCCURRED_IN_SA4
152,Sydney - Outer South West,OCCURRED_IN_SA4
153,Warrnambool and South West,OCCURRED_IN_SA4
154,Melbourne - North West,OCCURRED_IN_SA4
155,Cairns,OCCURRED_IN_SA4
156,Sunshine Coast,OCCURRED_IN_SA4
157,Far West and Orana,OCCURRED_IN_SA4
158,Mackay - Isaac - Whitsunday,OCCURRED_IN_SA4
159,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
160,Sunshine Coast,OCCURRED_IN_SA4
161,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
162,Launceston and North East,OCCURRED_IN_SA4
163,Australian Capital Territory,OCCURRED_IN_SA4
164,Adelaide - North,OCCURRED_IN_SA4
165,Mid North Coast,OCCURRED_IN_SA4
166,Hume,OCCURRED_IN_SA4
167,Central Coast,OCCURRED_IN_SA4
168,Central West,OCCURRED_IN_SA4
169,Sydney - Blacktown,OCCURRED_IN_SA4
170,Ipswich,OCCURRED_IN_SA4
171,Latrobe - Gippsland,OCCURRED_IN_SA4
172,Mackay - Isaac - Whitsunday,OCCURRED_IN_SA4
173,Sunshine Coast,OCCURRED_IN_SA4
174,Brisbane - South,OCCURRED_IN_SA4
175,Darling Downs - Maranoa,OCCURRED_IN_SA4
176,Warrnambool and South West,OCCURRED_IN_SA4
177,Moreton Bay - North,OCCURRED_IN_SA4
